#:GATKReport.v1.1:1
#:GATKTable:6:104:%s:%s:%s:%s:%s:%.2e:;
#:GATKTable:ErrorRatePerCycle:The error rate per sequenced position in the reads
readgroup  cycle  mismatches  counts    qual  errorrate
foo            0      350243  57006529    22   6.14e-03
foo            1      237717  57017423    24   4.17e-03
foo            2      932247  57008430    18   1.64e-02
foo            3      220294  56999207    24   3.86e-03
foo            4      102735  56996392    27   1.80e-03
foo            5       31208  56995181    33   5.48e-04
foo            6       44981  56994580    31   7.89e-04
foo            7       40806  56991367    31   7.16e-04
foo            8       44504  56985000    31   7.81e-04
foo            9       29378  56976678    33   5.16e-04
foo           10       29291  56964877    33   5.14e-04
foo           11       77022  56915512    29   1.35e-03
foo           12       40500  56334311    31   7.19e-04
foo           13       33489  46420782    31   7.21e-04
foo           14       51792  46851765    30   1.11e-03
foo           15       45416  46850956    30   9.69e-04
foo           16       37643  46850994    31   8.03e-04
foo           17       24812  46850663    33   5.30e-04
foo           18       25218  46842003    33   5.38e-04
foo           19       94558  46821158    27   2.02e-03
foo           20       25950  46850233    33   5.54e-04
foo           21       25565  46850208    33   5.46e-04
foo           22       26000  46850284    33   5.55e-04
foo           23       26120  46850126    33   5.58e-04
foo           24       28258  46848447    32   6.03e-04
foo           25       26450  46849855    32   5.65e-04
foo           26       26939  46850114    32   5.75e-04
foo           27       85262  46847954    27   1.82e-03
foo           28       26770  46848768    32   5.71e-04
foo           29       40749  46849326    31   8.70e-04
foo           30       27169  46849721    32   5.80e-04
foo           31       28034  46849640    32   5.98e-04
foo           32       28500  46849603    32   6.08e-04
foo           33       28661  46849680    32   6.12e-04
foo           34       28739  46849397    32   6.13e-04
foo           35       45375  46849534    30   9.69e-04
foo           36       37315  46849455    31   7.97e-04
foo           37       40535  46844543    31   8.65e-04
foo           38       29640  46847880    32   6.33e-04
foo           39       30075  46849082    32   6.42e-04
foo           40       30147  46849473    32   6.44e-04
foo           41       30974  46849356    32   6.61e-04
foo           42       31275  46849356    32   6.68e-04
foo           43       31795  46849239    32   6.79e-04
foo           44      103561  46849259    27   2.21e-03
foo           45       32278  46849278    32   6.89e-04
foo           46       35549  46842116    31   7.59e-04
foo           47       33018  46849267    32   7.05e-04
foo           48       33199  46849167    31   7.09e-04
foo           49       34077  46849060    31   7.27e-04
foo           50       32052  46849309    32   6.84e-04
foo           51       32063  46849358    32   6.84e-04
foo           52       32827  46849220    32   7.01e-04
foo           53       33331  46849363    31   7.11e-04
foo           54      106183  46849336    26   2.27e-03
foo           55       34503  46849247    31   7.36e-04
foo           56       34873  46849091    31   7.44e-04
foo           57       35235  46849176    31   7.52e-04
foo           58       36235  46849156    31   7.73e-04
foo           59       79211  46849345    28   1.69e-03
foo           60       37112  46849161    31   7.92e-04
foo           61       37995  46848308    31   8.11e-04
foo           62       38901  46848608    31   8.30e-04
foo           63       88530  46849205    27   1.89e-03
foo           64       41824  46848568    30   8.93e-04
foo           65       41579  46849349    31   8.88e-04
foo           66       43073  46849095    30   9.19e-04
foo           67       43210  46849063    30   9.22e-04
foo           68       44345  46849100    30   9.47e-04
foo           69       45714  46849305    30   9.76e-04
foo           70       45953  46849032    30   9.81e-04
foo           71       48159  46849230    30   1.03e-03
foo           72       48714  46849027    30   1.04e-03
foo           73       50184  46849101    30   1.07e-03
foo           74       52402  46849235    30   1.12e-03
foo           75       40175  46849267    31   8.58e-04
foo           76       43894  46849335    30   9.37e-04
foo           77      130658  46849201    26   2.79e-03
foo           78       44059  46849181    30   9.40e-04
foo           79       44837  46849118    30   9.57e-04
foo           80      100181  46849305    27   2.14e-03
foo           81       47511  46849233    30   1.01e-03
foo           82       48562  46849138    30   1.04e-03
foo           83       48405  46849187    30   1.03e-03
foo           84       51715  46849207    30   1.10e-03
foo           85       95427  46849208    27   2.04e-03
foo           86       55283  46849204    29   1.18e-03
foo           87       56548  46849154    29   1.21e-03
foo           88       59920  46849084    29   1.28e-03
foo           89       62080  46849128    29   1.33e-03
foo           90       63036  46848848    29   1.35e-03
foo           91       71481  46848430    28   1.53e-03
foo           92       70810  46847928    28   1.51e-03
foo           93      138325  46846675    25   2.95e-03
foo           94      287387  46844361    22   6.13e-03
foo           95       83697  46841487    27   1.79e-03
foo           96       90854  46837309    27   1.94e-03
foo           97      100970  46833700    27   2.16e-03
foo           98      120176  46829017    26   2.57e-03
foo           99      142005  46830017    25   3.03e-03
foo          100      219875  46823901    23   4.70e-03
foo          101      367063  46817853    21   7.84e-03
foo          102      591077  46817069    19   1.26e-02
foo          103     1033831  46800449    17   2.21e-02

